molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL515414,Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1,active,342.374,2.5235200000000004,2.0,6.0,7.036212172654444
CHEMBL3215582,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl,active,588.3300000000003,7.677520000000003,3.0,7.0,7.055517327849832
CHEMBL567173,c1ccc2c(c1)[nH]c1c3cc[nH]c3ccc21,active,206.248,3.8024000000000013,2.0,0.0,7.036212172654444
CHEMBL584980,c1ccc2c(c1)[nH]c1c2ccc2cc[nH]c21,active,206.248,3.8024000000000013,2.0,0.0,7.017728766960431
CHEMBL575754,O=Cc1c[nH]c2ccc3c4ccccc4[nH]c3c12,active,234.25799999999998,3.6149000000000013,2.0,1.0,7.022276394711152
CHEMBL583972,O=Cc1c[nH]c2c1ccc1c3ccccc3[nH]c12,active,234.25799999999998,3.6149000000000013,2.0,1.0,7.050609993355087
CHEMBL220227,CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccncc1,active,282.318,4.666100000000004,0.0,3.0,6.982966660701219
CHEMBL375428,CC(C)c1noc(-c2ccc(F)cc2)c1-c1ccncc1,active,282.318,4.666100000000004,0.0,3.0,7.0
CHEMBL604483,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,active,559.6670000000001,5.862800000000007,0.0,9.0,7.013228265733755
CHEMBL604483,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,active,559.6670000000001,5.862800000000007,0.0,9.0,6.987162775294828
CHEMBL604483,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,active,559.6670000000001,5.862800000000007,0.0,9.0,6.621602099051862
CHEMBL595143,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,active,541.6770000000001,5.723700000000008,0.0,9.0,7.080921907623926
CHEMBL595143,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,active,541.6770000000001,5.723700000000008,0.0,9.0,7.022276394711152
CHEMBL595143,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,active,541.6770000000001,5.723700000000008,0.0,9.0,6.5951662833800615
CHEMBL595373,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,active,512.6350000000003,6.572100000000007,0.0,8.0,7.022276394711152
CHEMBL595373,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,active,512.6350000000003,6.572100000000007,0.0,8.0,6.982966660701219
CHEMBL595373,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,active,512.6350000000003,6.572100000000007,0.0,8.0,6.649751981665837
CHEMBL604087,COc1ccc(C(=O)NCc2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1OC,active,445.5190000000003,3.5318000000000023,3.0,5.0,7.301029995663981
CHEMBL600852,NC(=O)c1ccc(NC(=O)NCc2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1,active,443.5070000000002,3.005200000000001,5.0,4.0,7.301029995663981
CHEMBL1077739,O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O,active,444.8750000000002,2.8625999999999996,4.0,6.0,
CHEMBL1081678,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1,active,438.2280000000001,3.047920000000002,1.0,6.0,7.301029995663981
CHEMBL1078665,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1,active,477.3490000000002,4.886320000000005,0.0,4.0,7.301029995663981
CHEMBL1084106,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C(NC1CC1)c1ccccc1,active,367.8360000000001,3.6133000000000024,3.0,3.0,7.045757490560675
CHEMBL1165499,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,active,436.51000000000016,3.6057000000000015,1.0,6.0,7.301029995663981
CHEMBL1164180,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,active,502.9720000000002,4.999700000000004,1.0,6.0,7.301029995663981
CHEMBL1164181,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1,active,469.42000000000024,4.634300000000004,1.0,6.0,7.301029995663981
CHEMBL1164265,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,active,470.9550000000002,4.259100000000003,1.0,6.0,7.301029995663981
CHEMBL1163566,FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21,active,488.9450000000003,4.657500000000004,2.0,6.0,7.301029995663981
CHEMBL1163565,CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1,active,530.982,4.916400000000004,1.0,6.0,7.301029995663981
